# Generated using ESO SkyCalc, assuming airmass = 1 and target 90 degrees above horizon, all other values default
# Photometric zero points are listed here: https://www.eso.org/observing/etc/doc/skycalc/helpskycalc.html#mags
# 
lambda_nm	flux
732	4438.32
732.5	944.679
733	2373.65
733.5	1003.12
734	951.986
734.5	5259.69
735	1006.69
735.5	1096.85
736	2337.27
736.5	1020.6
737	4527.92
737.5	1059.3
738	984.152
738.5	982.07
739	1013.1
739.5	1934.57
740	945.643
740.5	2948.83
741	932.964
741.5	1047.1
742	1004.21
742.5	1006.99
743	2270.26
743.5	949.845
744	2064.27
744.5	969.069
745	956.74
745.5	963.345
746	990.346
746.5	1224.17
747	1327.81
747.5	2175.39
748	1787.48
748.5	1797.76
749	1010.21
749.5	1254.63
750	980.898
750.5	958.528
751	946.768
751.5	946.995
752	1188.12
752.5	3839.1
753	1011.21
753.5	1958.38
754	1101.01
754.5	1050.5
755	982.691
755.5	1002.95
756	1538.41
756.5	985.579
757	1112.01
757.5	2990.74
758	948.587
758.5	948.16
759	1612.07
759.5	752.21
760	675.652
760.5	206.016
761	213.329
761.5	419.226
762	1325.07
762.5	616.475
763	974.712
763.5	483.693
764	537.192
764.5	604.708
765	650.562
765.5	955.559
766	799.639
766.5	1467.68
767	858.732
767.5	881.554
768	874.682
768.5	1125.49
769	1172.27
769.5	1308.22
770	1413.86
770.5	1004.77
771	962.753
771.5	5624.54
772	5627.15
772.5	1629.4
773	1947.03
773.5	1273.57
774	1210.37
774.5	1119.55
775	1787.26
775.5	6740.44
776	3959.24
776.5	1021.82
777	1109.96
777.5	2054.93
778	1072.03
778.5	2616.53
779	1179.95
779.5	6322.18
780	1071.45
780.5	1046.6
781	3082.54
781.5	1179.54
782	1229.78
782.5	7477.44
783	1170.12
783.5	1100.02
784	1039.21
784.5	2873.57
785	1671.19
785.5	7808.2
786	1639.09
786.5	3177.67
787	1949.4
787.5	3594.39
788	2495.9
788.5	2204.6
789	2650.14
789.5	1303.97
790	1145.37
790.5	1105.21
791	1159.84
791.5	9445.01
792	1343.81
792.5	4400.11
793	1163.6
793.5	3525.31
794	1066.29
794.5	1190.55
795	3012.3
795.5	1082.93
796	1006.36
796.5	7198.21
797	1579
797.5	1077.82
798	3984.74
798.5	1016.33
799	1190.78
799.5	7709.81
800	1222.3
800.5	1120.43
801	1053.95
801.5	2734.17
802	1255.73
802.5	1316.62
803	6461.33
803.5	1227.42
804	1051.05
804.5	1090.1
805	1205.05
805.5	2135.11
806	1078.83
806.5	3300.57
807	1090.59
807.5	1110.11
808	1172.86
808.5	1144.81
809	1145.65
809.5	1566.58
810	1040.64
810.5	2115.37
811	1093.79
811.5	1049.74
812	1054.62
812.5	1060.81
813	1086.43
813.5	1078.73
814	1403.6
814.5	999.966
815	1403.16
815.5	1001.09
816	1019.84
816.5	894.65
817	959.474
817.5	1045.91
818	919.322
818.5	1005.78
819	1117.24
819.5	1110.64
820	1061.93
820.5	1052.07
821	1153.63
821.5	1068.07
822	1068.54
822.5	1019.54
823	848.415
823.5	946.112
824	1044.75
824.5	1144.44
825	1235.55
825.5	1137.08
826	1009.75
826.5	1064.81
827	1106.88
827.5	1022.31
828	2725.43
828.5	4735.66
829	6673.72
829.5	1326.14
830	8325.67
830.5	1398.31
831	1123.49
831.5	3046.71
832	1314.45
832.5	1044.18
833	1076.35
833.5	1083.28
834	1284.73
834.5	16848.3
835	1543.59
835.5	5876.21
836	1137.75
836.5	3252.38
837	1291.94
837.5	1140.82
838	1402.76
838.5	4732.54
839	1236.04
839.5	1245.96
840	12893.5
840.5	1197.59
841	1136.11
841.5	1151.19
842	5333.85
842.5	1307.85
843	12601.9
843.5	1581.28
844	1168.38
844.5	1157.74
845	1279.82
845.5	5017
846	1181.93
846.5	1274.19
847	10928
847.5	1416.62
848	1162.74
848.5	1161.18
849	1155.19
849.5	3955.89
850	1298.12
850.5	6294.25
851	1176.12
851.5	1174.41
852	1175.29
852.5	1314.59
853	1175.95
853.5	1170.35
854	5259
854.5	1236.69
855	3013.8
855.5	1148.99
856	1169.07
856.5	1188.37
857	1207.25
857.5	1514.93
858	1338.13
858.5	1217.27
859	1698.76
859.5	1216.84
860	1949.32
860.5	1261.76
861	1314.56
861.5	1542.24
862	2379.32
862.5	3238.24
863	4005.64
863.5	3351.04
864	3648.22
864.5	1642.83
865	3227.08
865.5	4111.2
866	4319.09
866.5	4358.2
867	4042.87
867.5	3443.07
868	2184.42
868.5	2512.54
869	2006.67
869.5	1680.86
870	1454.98
870.5	1589.54
871	1720.26
871.5	1271.1
872	1262.88
872.5	1224.29
873	1342.2
873.5	1227.4
874	1351.52
874.5	1382.48
875	1255.79
875.5	1343.4
876	3684.26
876.5	10392.6
877	13163.4
877.5	1492.92
878	14708.7
878.5	1229.66
879	1231.55
879.5	5396.58
880	1234.13
880.5	1273.9
881	1492.11
881.5	1604.36
882	1233.58
882.5	1233.88
883	27485.2
883.5	3462.76
884	10814.7
884.5	1243.7
885	3847.81
885.5	1988.55
886	1242.71
886.5	1806.14
887	8051.42
887.5	1250.52
888	1235.35
888.5	1282.65
889	20440.3
889.5	1260.95
890	1603.97
890.5	9196.62
891	1678.29
891.5	1305.26
892	21656.9
892.5	1527.82
893	1770.73
893.5	1342.17
894	1457.54
894.5	8025.93
895	1221.13
895.5	1144.21
896	17953.2
896.5	1219.8
897	1200.51
897.5	1443.66
898	1436.89
898.5	1507
899	5550.32
899.5	1484.4
900	1226.02
900.5	10037.5
901	1124.98
901.5	1150.53
902	1078.34
902.5	1366.28
903	1266.43
903.5	1282.68
904	3617.75
904.5	1277.89
905	5781.62
905.5	1238.46
906	1383.1
906.5	1287.29
907	1511.58
907.5	1252.23
908	1177.83
908.5	1196.8
909	1072.39
909.5	2382.38
910	1205.38
910.5	3388.27
911	1058.58
911.5	1247.78
912	1055.51
912.5	1216.93
913	1141.6
913.5	1146.14
914	1135.7
914.5	1195.33
915	1264.81
915.5	2113.86
916	1387.64
916.5	2351.44
917	1181.75
917.5	1086.74
918	1121.34
918.5	1146.91
919	1219.24
919.5	1199.84
920	1143.88
920.5	1265.93
921	1229.29
921.5	1228.56
922	1917
922.5	1903.45
923	1691.19
923.5	1196.28
924	1177.36
924.5	1188.95
925	1194.09
925.5	1194.69
926	1232.99
926.5	1179.44
927	1233.47
927.5	1197.83
928	1090.83
928.5	1136.32
929	1088.72
929.5	1106.6
930	1033.85
930.5	926.796
931	10121.6
931.5	15090
932	1057.66
932.5	11063.9
933	824.908
933.5	783.622
934	3058.85
934.5	564.462
935	889.324
935.5	695.281
936	639.553
936.5	980.933
937	673.26
937.5	2862.4
938	25988.2
938.5	1631.08
939	876.618
939.5	1098.63
940	1444.1
940.5	4753.62
941	1026.93
941.5	900.236
942	6875.72
942.5	2130.81
943	608.068
943.5	1006.15
944	16360.9
944.5	589.458
945	1433.22
945.5	913.665
946	8196.6
946.5	792.605
947	845.796
947.5	1017.5
948	14259
948.5	687.904
949	1063.15
949.5	842.037
950	848.471
950.5	6897.84
951	1134.6
951.5	1083.45
952	5866.67
952.5	842.781
953	845.585
953.5	1129.27
954	983.205
954.5	846.254
955	1039.65
955.5	4962.7
956	924.304
956.5	1018.55
957	9555.19
957.5	1098.76
958	1122.77
958.5	943.956
959	937.396
959.5	854.294
960	1030.28
960.5	1134.52
961	2748.61
961.5	1135.53
962	1063
962.5	3148.94
963	1045.73
963.5	1251.7
964	958.506
964.5	1139.84
965	984.332
965.5	1286.79
966	1826.88
966.5	1225.56
967	4290.72
967.5	2356.25
968	1288.4
968.5	9116.08
969	1262.76
969.5	4367.59
970	15035.6
970.5	1192.67
971	1253.69
971.5	7080.97
972	9798.02
972.5	10108.5
973	1269.89
973.5	1351.48
974	7497.57
974.5	1179.41
975	1668.07
975.5	1223.99
976	1155.69
976.5	1173.18
977	1251.92
977.5	1269.19
978	1233.03
978.5	1217.58
979	5937.64
979.5	31028
980	17564.5
980.5	1214.46
981	1966.63
981.5	6556.47
982	1398.12
982.5	1488.86
983	2674.19
983.5	1292.43
984	1321.02
984.5	1341.92
985	12274.2
985.5	1322.28
986	1328.13
986.5	1334.09
987	1335.52
987.5	37522.8
988	1332.31
988.5	1337.49
989	1351.92
989.5	14392.6
990	1504.11
990.5	1342.5
991	1336.7
991.5	20053.7
992	19985.2
992.5	1343.61
993	1332.2
993.5	1347.32
994	1349.36
994.5	13985.2
995	32686.1
995.5	1557.18
996	20587.3
996.5	26030.1
997	1352.04
997.5	6229.68
998	1562.71
998.5	1357.96
999	1356.9
999.5	1354.9
1000	1355.53
